"Timestamp","Which company is your Service Provider agreement contracted with?","What is/are the service(s) you are contracted for?","In which state/territory/province is your contract based? ","What best describes the primary territories of your routes?","What percentage of your deliveries are to residential addresses versus business addresses?","How many additional Service Provider agreements does your company have?","When did your company begin operations under a Service Provider agreement?","Approximately what  percentage of your revenues comes directly from your Service Provider contract.","On a scale of 1-5, how would you rate your company's financial health over the past year?","Over the past year, have your year-over-year revenues:","Over the past year, have your year-over-year profit margins:","What are the major finical challenges you face?","On a scale of 1-5, how would you rate your company's operational constancy over the past year?","Over the past year, has your year-over-year operational efficiency:","On a scale of 1-5, how would you rate your company's current operational efficiency?","What are the major operational challenges you face?","How many routes in an average week are dispatch to service your contract?","Have you expanded or reduced your routes in the past year?","How many drivers are used to support your contract in an average week?","How many helper/jumpers are used to support your contract in an average week?","How many managers are used to support your contract in an average week?","How many administrative & executive (non-operations) positions does your company employ?","How would you rate the overall health of your business one year ago?","How would you currently rate the overall health of your business?","How would you rate your prediction for the overall health of your business one year from now?","Compared to the past year, how do you feel about the upcoming year in terms of business growth?","Compared to the past year, how do you feel about the upcoming year in terms of operational challenges?","Compared to the past year, how do you feel about the upcoming year in terms of profitability?","How confident are you in the stability of your contract in the coming year?","How confident are you in the stability of the company you contracted with in the coming year?","What are your top three concerns for the future of your business? [First concern]","What are your top three concerns for the future of your business? [Second concern]","What are your top three concerns for the future of your business? [Third concern]","Are you considering expanding, maintaining, or reducing your routes in the upcoming year?","Do you believe the demand for delivery services in your region will increase, decrease, or remain the same in the next year?","Can you share a specific challenge you've faced in the past year and how you addressed it?","Describe a recent success story or a significant milestone your company achieved.","If you could suggest one change to improve contractor relations, what would it be?","Are there any upcoming industry changes or trends that you believe will impact your business positively or negatively in the next year?","Share an experience that exemplifies your relationship with the company your contract is with.","What's one thing you wish outsiders knew about the challenges and rewards of being a Service Provider contractor?","Please provide any feedback you have regarding this survey."
"2024/01/01 11:41:26 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Washington","Suburban;Rural","Mostly Residential","0","2011-05-01","100%","3","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Remained Stable","5","Vehicle Maintenance & Repair;Hiring Drivers","101 to 140","Remained Stable","31 to 50","1 to 3","3 to 5","3 to 5","2","3","4","About the Same","More Pessimistic","About the Same","5","4","Contracted Rates","Labor Costs","Contract Partner","Expanding","Remain the same","","","","","","",""
"2024/01/03 4:42:20 PM EST","","","","","","0","2015-03-15","100%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","","","","","51 to 75","Remained Stable","6 to 15","0","1 to 2","1 to 2","4","2","1","More Pessimistic","More Pessimistic","Don't Know","1","1","Contract Partner","Contracted Rates","Labor Costs","Reducing","Decrease","Getting employees approved in a timely fashion","NA","Partner stop lying","Electric Vehicles","Told we have access and support but when you need it it’s not there.","We are at the mercy of the parent company in all things. Employees without benefits or protections ",""
"2024/01/03 7:54:50 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","South Carolina","Urban/City Center;Suburban;Rural","Equal Mix of Both","2","2006-06-01","100%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","4","Worsened","4","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Equipment Reliability;Employee Management","76 to 100","Reduced","16 to 30","0","3 to 5","3 to 5","2","3","3","About the Same","More Pessimistic","About the Same","1","2","Contracted Rates","Market Share","Fleet Costs","Maintaining","Increase","Fleet maintenance. I employed a full time fleet technician to take care of all small maintenance issues. PMs, tires, brakes etc","Achieved Gold status….lol","More transparency on how rates are calculated. ","USPS aggressively targeting more ground business","","This is not a passive income type venture! If you’re not prepared to be at the terminal on a regular basis, let alone not prepared to don a uniform and get behind the wheel to deliver packages, then don’t waste your time. Have a solid understanding of our logistics world and ensure that you have a good culture embedded in your company. ","Good start. "
"2024/01/03 7:59:47 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","North Carolina","Urban/City Center","Equal Mix of Both","10+","2018-01-03","100%","2","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","","","","","31 to 50","Remained Stable","100+","0","1 to 2","1 to 2","2","2","2","About the Same","About the Same","More Pessimistic","2","2","Contracted Rates","Contract Partner","","Maintaining","Increase","","","","","","",""
"2024/01/03 8:21:07 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Minnesota","Urban/City Center;Suburban","Equal Mix of Both","0","1989-05-24","100%","2","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","4","Remained Stable","5","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Equipment Reliability","51 to 75","Remained Stable","6 to 15","1 to 3","1 to 2","1 to 2","","","","","","","","2","Contracted Rates","Labor Costs","Contract Partner","Reducing","Remain the same","","","","Pay ","","How bad the parent company treats the isp ","Hope it does some good"
"2024/01/03 8:33:58 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Texas","Rural","Mostly Residential","1","2022-02-05","100%","2","Increased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Improved","4","Vehicle Maintenance & Repair","51 to 75","Remained Stable","6 to 15","0","1 to 2","0","2","2","2","About the Same","About the Same","More Pessimistic","4","2","Contracted Rates","Labor Costs","Contract Partner","Maintaining","Increase","","","Dispute process for Ryde ","Express integration projected summer 2024","","",""
"2024/01/03 9:35:53 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Kansas","Suburban","Mostly Residential","1","2011-09-17","90% to 99%","3","Increased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases","5","Improved","4","Hiring Drivers","76 to 100","Remained Stable","16 to 30","0","1 to 2","1 to 2","2","3","3","More Pessimistic","More Optimistic","About the Same","4","3","Contracted Rates","Labor Costs","Contract Partner","Expanding","Remain the same","","","","","","",""
"2024/01/03 9:49:58 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Illinois","Rural","Mostly Residential","1","2013-04-01","100%","1","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","4","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability;Employee Management","16 to 30","Remained Stable","16 to 30","0","3 to 5","1 to 2","1","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Labor Costs","Contract Partner","Maintaining","Remain the same","Showing profit","14 months no accidents","Better contract $","Express","Ok","More work less money","NA"
"2024/01/04 12:28:09 AM EST","","","","","","3","2019-03-02","100%","1","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","","","","Dealing with X","51 to 75","Reduced","51 to 75","0","3 to 5","1 to 2","2","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Contract Partner","Labor Costs","Reducing","Remain the same","Increase in rates. No new equipment. Deferring maintenance. ","We lived another year in this broken model ","Nothing we say matters. Why bother. ","NA","Look at how they’ve treated us. No relief from inflationary pressures. Shows in their financials. Thieves. I hate everything about this business. They’ve ruined me. ","Not to do it. ",""
"2024/01/04 1:50:11 AM EST","","","","","","5","2017-07-14","100%","1","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","5","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Equipment Reliability;Employee Management;Quality of Vendor Services;Quality of Professional Services","76 to 100","Remained Stable","76 to 100","0","8+","3 to 5","1","1","1","Don't Know","More Pessimistic","More Pessimistic","1","1","Contract Partner","Contracted Rates","Labor Costs","Reducing","Remain the same","Hiring drivers in GA was taking almost2 months to get through the process. Hired AVP drivers instead","Gold for the last 6 months of the year","Get rid of them because they are a waste if money and divide that none within the contractors ","Presidential race with impact my business this year ","Nine","As soon as you sign a contract you have 1 foot in the grave. You need to try and keep the second foot above. ","Fedex must get better with the contractors with communication and their value to FedEx or they will lose alot of good people "
